Amplitude (DN),Elevation (m)
251.37381,40.72930535
249.18367,40.57957373
249.25676,40.42984211
251.11746,40.2801105
253.29333,40.13037888
254.51262,39.98064726
254.54778,39.83091565
254.0279,39.68118403
253.50586,39.53145241
252.96571,39.38172079
252.04341,39.23198918
250.59447,39.08225756
248.90231,38.93252594
247.38495,38.78279433
246.27043,38.63306271
245.48466,38.48333109
244.84103,38.33359948
244.17882,38.18386786
243.48769,38.03413624
242.77405,37.88440462
242.11372,37.73467301
241.57605,37.58494139
241.30322,37.43520977
241.2539,37.28547816
241.21843,37.13574654
240.77957,36.98601492
239.58597,36.8362833
237.51697,36.68655169
235.04558,36.53682007
233.05197,36.38708845
232.52017,36.23735684
233.77565,36.08762522
236.17145,35.9378936
238.33963,35.78816199
239.11736,35.63843037
238.10184,35.48869875
235.83148,35.33896713
233.32143,35.18923552
231.4934,35.0395039
230.7086,34.88977228
230.79816,34.74004067
231.3264,34.59030905
231.99953,34.44057743
232.88304,34.29084581
234.28015,34.1411142
236.34479,33.99138258
238.86809,33.84165096
241.24828,33.69191935
242.83435,33.54218773
243.30591,33.39245611
242.70253,33.24272449
241.24028,33.09299288
239.19998,32.94326126
236.97606,32.79352964
235.07678,32.64379803
233.9976,32.49406641
233.90164,32.34433479
234.59637,32.19460318
235.57939,32.04487156
236.3194,31.89513994
236.47652,31.74540832
236.14139,31.59567671
235.77544,31.44594509
235.91284,31.29621347
236.78737,31.14648186
238.28935,30.99675024
240.06381,30.84701862
241.6679,30.697287
242.74107,30.54755539
243.10977,30.39782377
242.90822,30.24809215
242.54665,30.09836054
242.4828,29.94862892
242.96397,29.7988973
243.92134,29.64916569
244.88171,29.49943407
245.09976,29.34970245
243.96976,29.19997083
241.52736,29.05023922
238.67917,28.9005076
236.7272,28.75077598
236.41205,28.60104437
237.27579,28.45131275
238.17294,28.30158113
238.31334,28.15184951
238.04428,28.0021179
238.35472,27.85238628
239.88632,27.70265466
242.29002,27.55292305
244.57974,27.40319143
245.84848,27.25345981
245.79863,27.10372819
244.58368,26.95399658
242.6901,26.80426496
240.86841,26.65453334
239.98042,26.50480173
240.66136,26.35507011
242.79274,26.20533849
245.35773,26.05560688
247.19385,25.90587526
247.82669,25.75614364
247.66107,25.60641202
247.40627,25.45668041
247.39441,25.30694879
247.45476,25.15721717
247.54623,25.00748556
247.97646,24.85775394
249.09445,24.70802232
250.6402,24.5582907
251.89053,24.40855909
252.25154,24.25882747
251.98128,24.10909585
251.93964,23.95936424
252.79535,23.80963262
254.2596,23.659901
255.32832,23.51016939
255.04245,23.36043777
253.26562,23.21070615
250.79376,23.06097453
248.6981,22.91124292
247.5637,22.7615113
247.24472,22.61177968
247.22903,22.46204807
247.15562,22.31231645
247.07867,22.16258483
247.26411,22.01285321
247.83896,21.8631216
248.60054,21.71338998
249.0833,21.56365836
248.89066,21.41392675
247.99025,21.26419513
246.75673,21.11446351
245.62851,20.96473189
244.71947,20.81500028
243.77136,20.66526866
242.4471,20.51553704
240.70596,20.36580543
238.83627,20.21607381
237.22,20.06634219
236.02399,19.91661058
235.31314,19.76687896
235.25682,19.61714734
236.1726,19.46741572
238.22751,19.31768411
241.20189,19.16795249
244.54912,19.01822087
247.6288,18.86848926
249.92229,18.71875764
251.10242,18.56902602
251.35344,18.4192944
251.4001,18.26956279
252.16862,18.11983117
253.88324,17.97009955
255.86424,17.82036794
256.9664,17.67063632
256.6918,17.5209047
255.44037,17.37117309
254.20372,17.22144147
253.68243,17.07170985
254.03868,16.92197823
254.91597,16.77224662
255.89954,16.622515
256.59778,16.47278338
256.84543,16.32305177
256.52637,16.17332015
255.46909,16.02358853
253.45372,15.87385691
250.5122,15.7241253
247.0789,15.57439368
243.89015,15.42466206
241.53137,15.27493045
240.09499,15.12519883
239.33531,14.97546721
238.89722,14.82573559
238.5093,14.67600398
237.98839,14.52627236
237.36278,14.37654074
236.86809,14.22680913
236.8601,14.07707751
237.45564,13.92734589
238.34323,13.77761428
238.91632,13.62788266
238.7054,13.47815104
237.68083,13.32841942
236.2548,13.17868781
235.00946,13.02895619
234.26991,12.87922457
233.95544,12.72949296
233.7964,12.57976134
233.71198,12.43002972
233.92554,12.2802981
234.65169,12.13056649
235.63348,11.98083487
